,Prize,Odds ,Total Winners,Claimed,Available,
20X The money,200000,1204268,29,19,10,5
20X The money,10000,602134,58,37,21,5
20X The money,1000,13345,2617,1504,1113,5
20X The money,500,3004,11625,8767,2858,5
20X The money,100,400,87342,65479,21863,5
20X The money,50,185,188675,140890,47785,5
20X The money,30,92,378362,283013,95349,5
20X The money,20,40,873094,652274,220820,5
20X The money,15,33,1047772,782912,264860,5
20X The money,10,18,1920718,1418884,501834,5
20X The money,6,16,2182735,1561831,620904,5
20X The money,Ticket,13,2619282,1882899,736383,5
Extra Crossword,75000,1236000,24,12,12,5
Extra Crossword,5000,122579,242,108,134,5
Extra Crossword,500,3406,8710,5232,3478,5
Extra Crossword,250,2098,14138,8477,5661,5
Extra Crossword,100,398,74617,44789,29828,5
Extra Crossword,50,218,136378,81265,55113,5
Extra Crossword,30,184,161213,96579,64634,5
Extra Crossword,20,40,741600,443883,297717,5
Extra Crossword,15,17,1778322,1052727,725595,5
Extra Crossword,10,17,1782117,1044401,737716,5
Extra Crossword,Ticket,10,2966400,1663345,1303055,5
Happy Holidays,250000,1226434,7,3,4,5
Happy Holidays,10000,613217,14,5,9,5
Happy Holidays,1000,13456,638,268,370,5
Happy Holidays,500,2976,2885,1416,1469,5
Happy Holidays,100,399,21525,10506,11019,5
Happy Holidays,50,218,39399,19235,20164,5
Happy Holidays,30,92,93012,45125,47887,5
Happy Holidays,20,40,214530,103106,111424,5
Happy Holidays,15,33,257614,122953,134661,5
Happy Holidays,10,18,472275,222240,250035,5
Happy Holidays,6,16,536565,242348,294217,5
Happy Holidays,Ticket,13,643878,290894,352984,5
High Card Poker,75000,1208293,15,4,11,5
High Card Poker,5000,116932,155,28,127,5
High Card Poker,1000,19917,910,112,798,5
High Card Poker,500,2997,6047,2839,3208,5
High Card Poker,100,334,54320,25129,29191,5
High Card Poker,50,100,181376,83796,97580,5
High Card Poker,20,40,453110,211428,241682,5
High Card Poker,15,27,679665,314356,365309,5
High Card Poker,10,20,906220,416691,489529,5
High Card Poker,6,16,1132775,515961,616814,5
High Card Poker,Ticket,11,1585885,714508,871377,5
Hit 500,500,686,29294,24680,4614,5
Hit 500,100,401,50141,42362,7779,5
Hit 500,50,214,93745,79109,14636,5
Hit 500,30,133,150757,126818,23939,5
Hit 500,20,64,313907,262998,50909,5
Hit 500,15,40,502286,419090,83196,5
Hit 500,10,9,2134759,1777017,357742,5
Hit 500,Ticket,16,1255715,1022601,233114,5
Jokers Wild,150000,1603062,11,7,4,5
Jokers Wild,10000,801531,22,14,8,5
Jokers Wild,1000,39537,446,265,181,5
Jokers Wild,500,2659,6632,5401,1231,5
Jokers Wild,150,1599,11030,8917,2113,5
Jokers Wild,100,433,40729,32921,7808,5
Jokers Wild,75,652,27031,21894,5137,5
Jokers Wild,50,142,124030,99827,24203,5
Jokers Wild,25,210,83809,67312,16497,5
Jokers Wild,20,40,440842,352432,88410,5
Jokers Wild,15,27,661263,525894,135369,5
Jokers Wild,10,16,1102105,874477,227628,5
Jokers Wild,5,27,661263,516927,144336,5
Jokers Wild,Ticket,11,1542947,1179608,363339,5
Lucky Fortune,100000,1203275,15,0,15,5
Lucky Fortune,5000,119531,151,0,151,5
Lucky Fortune,1000,19944,905,0,905,5
Lucky Fortune,200,1711,10551,2312,8239,5
Lucky Fortune,100,400,45156,9729,35427,5
Lucky Fortune,50,120,150432,31815,118617,5
Lucky Fortune,20,40,451252,96664,354588,5
Lucky Fortune,15,20,902476,195080,707396,5
Lucky Fortune,10,18,1015185,214619,800566,5
Lucky Fortune,6,16,1128070,235225,892845,5
Lucky Fortune,Ticket,13,1353684,279780,1073904,5
Mega CrossWord,75000,1236000,26,20,6,5
Mega CrossWord,5000,79348,405,266,139,5
Mega CrossWord,1000,40271,798,521,277,5
Mega CrossWord,500,2642,12163,10577,1586,5
Mega CrossWord,100,594,54142,47229,6913,5
Mega CrossWord,50,320,100303,87314,12989,5
Mega CrossWord,30,199,161741,140170,21571,5
Mega CrossWord,25,160,200615,174703,25912,5
Mega CrossWord,20,40,803603,695158,108445,5
Mega CrossWord,15,21,1529936,1327434,202502,5
Mega CrossWord,10,12,2725940,2342537,383403,5
Mega CrossWord,Ticket,11,2811900,2317532,494368,5
Poker Night,75000,1202808,20,17,3,5
Poker Night,5000,116777,206,186,20,5
Poker Night,1000,19931,1207,1119,88,5
Poker Night,500,2995,8032,7791,241,5
Poker Night,100,333,72175,69100,3075,5
Poker Night,50,100,240706,229007,11699,5
Poker Night,20,40,601404,578850,22554,5
Poker Night,15,27,902106,861842,40264,5
Poker Night,10,20,1202808,1143516,59292,5
Poker Night,6,16,1503510,1423380,80130,5
Poker Night,Ticket,11,2104914,1968650,136264,5
Power 5,555555,1510543,24,19,5,5
Power 5,5000,594312,61,47,14,5
Power 5,1000,59237,612,469,143,5
Power 5,500,4011,9038,7624,1414,5
Power 5,100,343,105562,88687,16875,5
Power 5,50,200,181652,152173,29479,5
Power 5,25,92,392785,325277,67508,5
Power 5,20,40,906376,759475,146901,5
Power 5,15,33,1087596,912331,175265,5
Power 5,10,18,1993810,1662667,331143,5
Power 5,5,16,2265815,1875134,390681,5
Power 5,Ticket,13,2718978,2253383,465595,5
Ruby Red,77777,1210472,20,1,19,5
Ruby Red,5000,116954,207,10,197,5
Ruby Red,1000,12039,2011,58,1953,5
